"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dcn",0,3.53092222168989,0.993,0.692,0,"0","Dcn"
"Col1a1",0,3.35771200477137,0.998,0.609,0,"0","Col1a1"
"Col3a1",0,3.26582328736395,0.998,0.78,0,"0","Col3a1"
"Postn",0,2.99200078063172,0.989,0.557,0,"0","Postn"
"Lum",0,2.89476385352857,0.937,0.365,0,"0","Lum"
"Ptn",0,2.88544003198112,0.917,0.41,0,"0","Ptn"
"Col1a2",0,2.87856859915273,0.995,0.606,0,"0","Col1a2"
"Mfap4",0,2.58317611545137,0.802,0.182,0,"0","Mfap4"
"Itm2a",0,2.45270353276169,0.948,0.582,0,"0","Itm2a"
"Dpt",0,2.35641755155223,0.929,0.136,0,"0","Dpt"
"Mfap5",0,2.24995969490408,0.714,0.212,0,"0","Mfap5"
"Meg3",0,2.19020088334216,0.975,0.514,0,"0","Meg3"
"Bgn",0,2.1257992650192,0.996,0.702,0,"0","Bgn"
"Gpx3",0,2.10555859131381,0.945,0.374,0,"0","Gpx3"
"Gsn",0,2.06680528016593,0.917,0.479,0,"0","Gsn"
"Pcolce",0,1.99875194884689,0.97,0.474,0,"0","Pcolce"
"Col6a1",0,1.97392563245829,0.95,0.266,0,"0","Col6a1"
"Aspn",0,1.92120608936176,0.874,0.251,0,"0","Aspn"
"Mdk",0,1.87946907862071,0.925,0.262,0,"0","Mdk"
"Rcn3",0,1.83422421660813,0.967,0.389,0,"0","Rcn3"
"Col6a2",0,1.8338129449494,0.919,0.206,0,"0","Col6a2"
"Dlk1",0,1.81403121056113,0.444,0.138,0,"0","Dlk1"
"Col5a1",0,1.7621608717138,0.888,0.171,0,"0","Col5a1"
"Fstl1",0,1.74690601021884,0.992,0.706,0,"0","Fstl1"
"Col14a1",0,1.72905026778581,0.839,0.136,0,"0","Col14a1"
"Ogn",0,1.70360913605041,0.723,0.088,0,"0","Ogn"
"Mmp2",0,1.70287919526424,0.868,0.213,0,"0","Mmp2"
"Mfap2",0,1.70041157171604,0.88,0.207,0,"0","Mfap2"
"Cthrc1",0,1.68309890032311,0.465,0.098,0,"0","Cthrc1"
"Spon2",0,1.65508730268733,0.706,0.128,0,"0","Spon2"
"Loxl1",0,1.637221543442,0.86,0.147,0,"0","Loxl1"
"Lgals1",0,1.58194759367979,1,0.911,0,"0","Lgals1"
"Col5a2",0,1.51004245262247,0.886,0.258,0,"0","Col5a2"
"Htra3",0,1.50811994970167,0.703,0.1,0,"0","Htra3"
"Fhl1",0,1.50149206676553,0.767,0.173,0,"0","Fhl1"
"Tcf21",0,1.42693789865818,0.679,0.049,0,"0","Tcf21"
"Angptl2",0,1.40736787853904,0.782,0.129,0,"0","Angptl2"
"Col15a1",0,1.38076084722715,0.796,0.29,0,"0","Col15a1"
"Fbn1",0,1.33713218791943,0.855,0.299,0,"0","Fbn1"
"Clec3b",0,1.2633086369846,0.389,0.048,0,"0","Clec3b"
"Serpine2",0,1.25887879477698,0.815,0.279,0,"0","Serpine2"
"Smoc2",0,1.24860437627162,0.578,0.055,0,"0","Smoc2"
"Aldh1a2",0,1.24405823563333,0.65,0.091,0,"0","Aldh1a2"
"Cd63",0,1.21824440054965,0.999,0.814,0,"0","Cd63"
"Serpinh1",0,1.20316663937721,0.999,0.89,0,"0","Serpinh1"
"Loxl2",0,1.19863470461404,0.752,0.181,0,"0","Loxl2"
"Igfbp7",0,1.19027962230229,0.992,0.902,0,"0","Igfbp7"
"Lhfp",0,1.16450436904507,0.889,0.264,0,"0","Lhfp"
"Fbln1",0,1.16447525599184,0.667,0.111,0,"0","Fbln1"
"Col6a3",0,1.15356900653365,0.66,0.098,0,"0","Col6a3"
"Ptgis",0,1.15246481117251,0.79,0.183,0,"0","Ptgis"
"Maged2",0,1.13393569130236,0.915,0.542,0,"0","Maged2"
"Adamts2",0,1.13109998348191,0.708,0.116,0,"0","Adamts2"
"Sdc2",0,1.12852472769037,0.753,0.151,0,"0","Sdc2"
"Mmp23",0,1.12716995424947,0.692,0.104,0,"0","Mmp23"
"Vcan",0,1.09891106970372,0.667,0.075,0,"0","Vcan"
"Pmp22",0,1.08443861034624,0.79,0.28,0,"0","Pmp22"
"Gpx7",0,1.07958792652648,0.782,0.273,0,"0","Gpx7"
"Mgp",0,1.07094193581407,0.843,0.595,0,"0","Mgp"
"Txndc5",0,1.06538924465063,0.767,0.21,0,"0","Txndc5"
"Tbx20",0,1.06390467071292,0.612,0.07,0,"0","Tbx20"
"Itih5",0,1.06291225132639,0.573,0.049,0,"0","Itih5"
"Cygb",0,1.0617067282284,0.776,0.191,0,"0","Cygb"
"Lama2",0,1.04725695057682,0.645,0.075,0,"0","Lama2"
"Mxra8",0,1.04640294727017,0.689,0.18,0,"0","Mxra8"
"Thbs2",0,1.04453929670536,0.65,0.083,0,"0","Thbs2"
"Rcn1",0,1.04269528419566,0.811,0.294,0,"0","Rcn1"
"Rbp1",0,1.04222038307747,0.896,0.573,0,"0","Rbp1"
"Snhg18",0,1.04176011018515,0.755,0.168,0,"0","Snhg18"
"Sfrp1",0,1.03903666069016,0.504,0.053,0,"0","Sfrp1"
"Oaf",0,1.03462848849919,0.664,0.164,0,"0","Oaf"
"Kdelr3",0,1.02178230873175,0.733,0.181,0,"0","Kdelr3"
"Nrk",0,1.02142420438531,0.534,0.083,0,"0","Nrk"
"Emilin1",0,1.01046653272355,0.716,0.229,0,"0","Emilin1"
"Matn2",0,1.00194956466277,0.59,0.06,0,"0","Matn2"
"Fn1",0,0.998583496481964,0.97,0.705,0,"0","Fn1"
"Bicc1",0,0.994575192629006,0.688,0.107,0,"0","Bicc1"
"Gpx8",0,0.993309176956943,0.782,0.22,0,"0","Gpx8"
"Timp2",0,0.975649187434873,0.857,0.44,0,"0","Timp2"
"Gas1",0,0.965771001715663,0.607,0.138,0,"0","Gas1"
"Olfml3",0,0.954243704062284,0.601,0.109,0,"0","Olfml3"
"Ccdc80",0,0.952752838266622,0.729,0.214,0,"0","Ccdc80"
"Vcam1",0,0.94410532020365,0.534,0.107,0,"0","Vcam1"
"Lamb1",0,0.939684365078152,0.783,0.35,0,"0","Lamb1"
"Mmp14",0,0.924674561118679,0.784,0.358,0,"0","Mmp14"
"Akap12",0,0.918143515198972,0.764,0.353,0,"0","Akap12"
"Kcnk2",0,0.91378925612527,0.493,0.023,0,"0","Kcnk2"
"Ppib",0,0.906042836915705,0.996,0.937,0,"0","Ppib"
"Lpar1",0,0.905760631645167,0.553,0.042,0,"0","Lpar1"
"Vkorc1",0,0.904659566594578,0.743,0.254,0,"0","Vkorc1"
"Serpinf1",0,0.900173561267887,0.565,0.105,0,"0","Serpinf1"
"Pam",0,0.893996617949269,0.677,0.257,0,"0","Pam"
"Abca8a",0,0.890668784765326,0.527,0.05,0,"0","Abca8a"
